phase2_torque,phase2_duration,phase3_interval,label,init_label
0.01,100,1000,0,0
0.01,100,1500,0,0
0.01,100,2000,0,0
0.01,100,2500,0,0
0.01,100,3000,0,0
0.01,100,3500,0,0
0.01,100,4000,0,0
0.01,150,1000,0,0
0.01,150,1500,0,0
0.01,150,2000,0,0
0.01,150,2500,0,0
0.01,150,3000,0,0
0.01,150,3500,0,0
0.01,150,4000,0,0
0.01,200,1000,0,0
0.01,200,1500,0,0
0.01,200,2000,0,0
0.01,200,2500,0,0
0.01,200,3000,0,0
0.01,200,3500,0,0
0.01,200,4000,0,0
0.01,250,1000,0,0
0.01,250,1500,0,0
0.01,250,2000,0,0
0.01,250,2500,0,0
0.01,250,3000,0,0
0.01,250,3500,0,0
0.01,250,4000,0,0
0.01,300,1000,0,0
0.01,300,1500,0,0
0.01,300,2000,0,0
0.01,300,2500,0,0
0.01,300,3000,0,0
0.01,300,3500,0,0
0.01,300,4000,0,0
0.01,350,1000,0,0
0.01,350,1500,0,0
0.01,350,2000,0,0
0.01,350,2500,0,0
0.01,350,3000,0,0
0.01,350,3500,0,0
0.01,350,4000,0,0
0.01,400,1000,0,0
0.01,400,1500,0,0
0.01,400,2000,0,0
0.01,400,2500,0,0
0.01,400,3000,0,0
0.01,400,3500,0,0
0.01,400,4000,0,0
0.01,450,1000,0,0
0.01,450,1500,0,0
0.01,450,2000,0,0
0.01,450,2500,0,0
0.01,450,3000,0,0
0.01,450,3500,0,0
0.01,450,4000,0,0
0.01,500,1000,0,0
0.01,500,1500,0,0
0.01,500,2000,0,0
0.01,500,2500,0,0
0.01,500,3000,0,0
0.01,500,3500,0,0
0.01,500,4000,0,0
0.01,550,1000,0,0
0.01,550,1500,0,0
0.01,550,2000,0,0
0.01,550,2500,0,0
0.01,550,3000,0,0
0.01,550,3500,0,0
0.01,550,4000,0,0
0.01,600,1000,0,0
0.01,600,1500,0,0
0.01,600,2000,0,0
0.01,600,2500,0,0
0.01,600,3000,0,0
0.01,600,3500,0,0
0.01,600,4000,0,0
0.01,650,1000,0,0
0.01,650,1500,0,0
0.01,650,2000,0,0
0.01,650,2500,0,0
0.01,650,3000,0,0
0.01,650,3500,0,0
0.01,650,4000,0,0
0.01,700,1000,0,0
0.01,700,1500,0,0
0.01,700,2000,0,0
0.01,700,2500,0,0
0.01,700,3000,0,0
0.01,700,3500,0,0
0.01,700,4000,0,0
0.01,750,1000,0,0
0.01,750,1500,0,0
0.01,750,2000,0,0
0.01,750,2500,0,0
0.01,750,3000,0,0
0.01,750,3500,0,0
0.01,750,4000,0,0
0.01,800,1000,0,0
0.01,800,1500,0,0
0.01,800,2000,0,0
0.01,800,2500,0,0
0.01,800,3000,0,0
0.01,800,3500,0,0
0.01,800,4000,0,0
0.01,850,1000,0,0
0.01,850,1500,0,0
0.01,850,2000,0,0
0.01,850,2500,0,0
0.01,850,3000,0,0
0.01,850,3500,0,0
0.01,850,4000,0,0
0.01,900,1000,0,0
0.01,900,1500,0,0
0.01,900,2000,0,0
0.01,900,2500,0,0
0.01,900,3000,0,0
0.01,900,3500,0,0
0.01,900,4000,0,0
0.01,950,1000,0,0
0.01,950,1500,0,0
0.01,950,2000,0,0
0.01,950,2500,0,0
0.01,950,3000,0,0
0.01,950,3500,0,0
0.01,950,4000,0,0
0.01,1000,1000,0,0
0.01,1000,1500,0,0
0.01,1000,2000,0,0
0.01,1000,2500,0,0
0.01,1000,3000,0,0
0.01,1000,3500,0,0
0.01,1000,4000,0,0
0.01,1050,1000,0,0
0.01,1050,1500,0,0
0.01,1050,2000,0,0
0.01,1050,2500,0,0
0.01,1050,3000,0,0
0.01,1050,3500,0,0
0.01,1050,4000,0,0
0.01,1100,1000,0,0
0.01,1100,1500,0,0
0.01,1100,2000,0,0
0.01,1100,2500,0,0
0.01,1100,3000,0,0
0.01,1100,3500,0,0
0.01,1100,4000,0,0
0.01,1150,1000,1,0
0.01,1150,1500,1,0
0.01,1150,2000,1,0
0.01,1150,2500,1,0
0.01,1150,3000,1,0
0.01,1150,3500,1,0
0.01,1150,4000,1,0
0.01,1200,1000,1,0
0.01,1200,1500,1,0
0.01,1200,2000,1,0
0.01,1200,2500,1,0
0.01,1200,3000,1,0
0.01,1200,3500,1,0
0.01,1200,4000,1,0
0.01,1250,1000,1,0
0.01,1250,1500,1,0
0.01,1250,2000,1,0
0.01,1250,2500,1,0
0.01,1250,3000,1,0
0.01,1250,3500,1,0
0.01,1250,4000,1,0
0.01,1300,1000,1,0
0.01,1300,1500,1,0
0.01,1300,2000,1,0
0.01,1300,2500,1,0
0.01,1300,3000,1,0
0.01,1300,3500,1,0
0.01,1300,4000,1,0
0.01,1350,1000,1,0
0.01,1350,1500,1,0
0.01,1350,2000,1,0
0.01,1350,2500,1,0
0.01,1350,3000,1,0
0.01,1350,3500,1,0
0.01,1350,4000,1,0
0.01,1400,1000,1,0
0.01,1400,1500,1,0
0.01,1400,2000,1,0
0.01,1400,2500,1,0
0.01,1400,3000,1,0
0.01,1400,3500,1,0
0.01,1400,4000,1,0
0.01,1450,1000,1,0
0.01,1450,1500,1,0
0.01,1450,2000,1,0
0.01,1450,2500,1,0
0.01,1450,3000,1,0
0.01,1450,3500,1,0
0.01,1450,4000,1,0
0.02,100,1000,0,0
0.02,100,1500,0,0
0.02,100,2000,0,0
0.02,100,2500,0,0
0.02,100,3000,0,0
0.02,100,3500,0,0
0.02,100,4000,0,0
0.02,150,1000,0,0
0.02,150,1500,0,0
0.02,150,2000,0,0
0.02,150,2500,0,0
0.02,150,3000,0,0
0.02,150,3500,0,0
0.02,150,4000,0,0
0.02,200,1000,0,0
0.02,200,1500,0,0
0.02,200,2000,0,0
0.02,200,2500,0,0
0.02,200,3000,0,0
0.02,200,3500,0,0
0.02,200,4000,0,0
0.02,250,1000,0,0
0.02,250,1500,0,0
0.02,250,2000,0,0
0.02,250,2500,0,0
0.02,250,3000,0,0
0.02,250,3500,0,0
0.02,250,4000,0,0
0.02,300,1000,0,0
0.02,300,1500,0,0
0.02,300,2000,0,0
0.02,300,2500,0,0
0.02,300,3000,0,0
0.02,300,3500,0,0
0.02,300,4000,0,0
0.02,350,1000,0,0
0.02,350,1500,0,0
0.02,350,2000,0,0
0.02,350,2500,0,0
0.02,350,3000,0,0
0.02,350,3500,0,0
0.02,350,4000,0,0
0.02,400,1000,0,0
0.02,400,1500,0,0
0.02,400,2000,0,0
0.02,400,2500,0,0
0.02,400,3000,0,0
0.02,400,3500,0,0
0.02,400,4000,0,0
0.02,450,1000,0,0
0.02,450,1500,0,0
0.02,450,2000,0,0
0.02,450,2500,0,0
0.02,450,3000,0,0
0.02,450,3500,0,0
0.02,450,4000,0,0
0.02,500,1000,0,0
0.02,500,1500,0,0
0.02,500,2000,0,0
0.02,500,2500,0,0
0.02,500,3000,0,0
0.02,500,3500,0,0
0.02,500,4000,0,0
0.02,550,1000,0,0
0.02,550,1500,0,0
0.02,550,2000,0,0
0.02,550,2500,0,0
0.02,550,3000,0,0
0.02,550,3500,0,0
0.02,550,4000,0,0
0.02,600,1000,0,0
0.02,600,1500,0,0
0.02,600,2000,0,0
0.02,600,2500,0,0
0.02,600,3000,0,0
0.02,600,3500,0,0
0.02,600,4000,0,0
0.02,650,1000,0,0
0.02,650,1500,0,0
0.02,650,2000,0,0
0.02,650,2500,0,0
0.02,650,3000,0,0
0.02,650,3500,0,0
0.02,650,4000,0,0
0.02,700,1000,0,0
0.02,700,1500,0,0
0.02,700,2000,0,0
0.02,700,2500,0,0
0.02,700,3000,0,0
0.02,700,3500,0,0
0.02,700,4000,0,0
0.02,750,1000,0,0
0.02,750,1500,0,0
0.02,750,2000,0,0
0.02,750,2500,0,0
0.02,750,3000,0,0
0.02,750,3500,0,0
0.02,750,4000,0,0
0.02,800,1000,0,0
0.02,800,1500,0,0
0.02,800,2000,0,0
0.02,800,2500,0,0
0.02,800,3000,0,0
0.02,800,3500,0,0
0.02,800,4000,0,0
0.02,850,1000,0,0
0.02,850,1500,0,0
0.02,850,2000,0,0
0.02,850,2500,0,0
0.02,850,3000,0,0
0.02,850,3500,0,0
0.02,850,4000,0,0
0.02,900,1000,0,0
0.02,900,1500,0,0
0.02,900,2000,0,0
0.02,900,2500,0,0
0.02,900,3000,0,0
0.02,900,3500,0,0
0.02,900,4000,0,0
0.02,950,1000,0,0
0.02,950,1500,0,0
0.02,950,2000,0,0
0.02,950,2500,0,0
0.02,950,3000,0,0
0.02,950,3500,0,0
0.02,950,4000,0,0
0.02,1000,1000,0,0
0.02,1000,1500,0,0
0.02,1000,2000,0,0
0.02,1000,2500,0,0
0.02,1000,3000,0,0
0.02,1000,3500,0,0
0.02,1000,4000,0,0
0.02,1050,1000,0,0
0.02,1050,1500,0,0
0.02,1050,2000,0,0
0.02,1050,2500,0,0
0.02,1050,3000,0,0
0.02,1050,3500,0,0
0.02,1050,4000,0,0
0.02,1100,1000,0,0
0.02,1100,1500,0,0
0.02,1100,2000,0,0
0.02,1100,2500,0,0
0.02,1100,3000,0,0
0.02,1100,3500,0,0
0.02,1100,4000,0,0
0.02,1150,1000,1,0
0.02,1150,1500,1,0
0.02,1150,2000,1,0
0.02,1150,2500,1,0
0.02,1150,3000,1,0
0.02,1150,3500,1,0
0.02,1150,4000,1,0
0.02,1200,1000,1,0
0.02,1200,1500,1,0
0.02,1200,2000,1,0
0.02,1200,2500,1,0
0.02,1200,3000,1,0
0.02,1200,3500,1,0
0.02,1200,4000,1,0
0.02,1250,1000,1,0
0.02,1250,1500,1,0
0.02,1250,2000,1,0
0.02,1250,2500,1,0
0.02,1250,3000,1,0
0.02,1250,3500,1,0
0.02,1250,4000,1,0
0.02,1300,1000,1,0
0.02,1300,1500,1,0
0.02,1300,2000,1,0
0.02,1300,2500,1,0
0.02,1300,3000,1,0
0.02,1300,3500,1,0
0.02,1300,4000,1,0
0.02,1350,1000,1,0
0.02,1350,1500,1,0
0.02,1350,2000,1,0
0.02,1350,2500,1,0
0.02,1350,3000,1,0
0.02,1350,3500,1,0
0.02,1350,4000,1,0
0.02,1400,1000,1,0
0.02,1400,1500,1,0
0.02,1400,2000,1,0
0.02,1400,2500,1,0
0.02,1400,3000,1,0
0.02,1400,3500,1,0
0.02,1400,4000,1,0
0.02,1450,1000,1,0
0.02,1450,1500,1,0
0.02,1450,2000,1,0
0.02,1450,2500,1,0
0.02,1450,3000,1,0
0.02,1450,3500,1,0
0.02,1450,4000,1,0
0.03,100,1000,0,0
0.03,100,1500,0,0
0.03,100,2000,0,0
0.03,100,2500,0,0
0.03,100,3000,0,0
0.03,100,3500,0,0
0.03,100,4000,0,0
0.03,150,1000,0,0
0.03,150,1500,0,0
0.03,150,2000,0,0
0.03,150,2500,0,0
0.03,150,3000,0,0
0.03,150,3500,0,0
0.03,150,4000,0,0
0.03,200,1000,0,0
0.03,200,1500,0,0
0.03,200,2000,0,0
0.03,200,2500,0,0
0.03,200,3000,0,0
0.03,200,3500,0,0
0.03,200,4000,0,0
0.03,250,1000,0,0
0.03,250,1500,0,0
0.03,250,2000,0,0
0.03,250,2500,0,0
0.03,250,3000,0,0
0.03,250,3500,0,0
0.03,250,4000,0,0
0.03,300,1000,0,0
0.03,300,1500,0,0
0.03,300,2000,0,0
0.03,300,2500,0,0
0.03,300,3000,0,0
0.03,300,3500,0,0
0.03,300,4000,0,0
0.03,350,1000,0,0
0.03,350,1500,0,0
0.03,350,2000,0,0
0.03,350,2500,0,0
0.03,350,3000,0,0
0.03,350,3500,0,0
0.03,350,4000,0,0
0.03,400,1000,0,0
0.03,400,1500,0,0
0.03,400,2000,0,0
0.03,400,2500,0,0
0.03,400,3000,0,0
0.03,400,3500,0,0
0.03,400,4000,0,0
0.03,450,1000,0,0
0.03,450,1500,0,0
0.03,450,2000,0,0
0.03,450,2500,0,0
0.03,450,3000,0,0
0.03,450,3500,0,0
0.03,450,4000,0,0
0.03,500,1000,0,0
0.03,500,1500,0,0
0.03,500,2000,0,0
0.03,500,2500,0,0
0.03,500,3000,0,0
0.03,500,3500,0,0
0.03,500,4000,0,0
0.03,550,1000,0,0
0.03,550,1500,0,0
0.03,550,2000,0,0
0.03,550,2500,0,0
0.03,550,3000,0,0
0.03,550,3500,0,0
0.03,550,4000,0,0
0.03,600,1000,0,0
0.03,600,1500,0,0
0.03,600,2000,0,0
0.03,600,2500,0,0
0.03,600,3000,0,0
0.03,600,3500,0,0
0.03,600,4000,0,0
0.03,650,1000,0,0
0.03,650,1500,0,0
0.03,650,2000,0,0
0.03,650,2500,0,0
0.03,650,3000,0,0
0.03,650,3500,0,0
0.03,650,4000,0,0
0.03,700,1000,0,0
0.03,700,1500,0,0
0.03,700,2000,0,0
0.03,700,2500,0,0
0.03,700,3000,0,0
0.03,700,3500,0,0
0.03,700,4000,0,0
0.03,750,1000,0,0
0.03,750,1500,0,0
0.03,750,2000,0,0
0.03,750,2500,0,0
0.03,750,3000,0,0
0.03,750,3500,0,0
0.03,750,4000,0,0
0.03,800,1000,0,0
0.03,800,1500,0,0
0.03,800,2000,0,0
0.03,800,2500,0,0
0.03,800,3000,0,0
0.03,800,3500,0,0
0.03,800,4000,0,0
0.03,850,1000,0,0
0.03,850,1500,0,0
0.03,850,2000,0,0
0.03,850,2500,0,0
0.03,850,3000,0,0
0.03,850,3500,0,0
0.03,850,4000,0,0
0.03,900,1000,0,0
0.03,900,1500,0,0
0.03,900,2000,0,0
0.03,900,2500,0,0
0.03,900,3000,0,0
0.03,900,3500,0,0
0.03,900,4000,0,0
0.03,950,1000,0,0
0.03,950,1500,0,0
0.03,950,2000,0,0
0.03,950,2500,0,0
0.03,950,3000,0,0
0.03,950,3500,0,0
0.03,950,4000,0,0
0.03,1000,1000,0,0
0.03,1000,1500,0,0
0.03,1000,2000,0,0
0.03,1000,2500,0,0
0.03,1000,3000,0,0
0.03,1000,3500,0,0
0.03,1000,4000,0,0
0.03,1050,1000,0,0
0.03,1050,1500,0,0
0.03,1050,2000,0,0
0.03,1050,2500,0,0
0.03,1050,3000,0,0
0.03,1050,3500,0,0
0.03,1050,4000,0,0
0.03,1100,1000,0,0
0.03,1100,1500,0,0
0.03,1100,2000,0,0
0.03,1100,2500,0,0
0.03,1100,3000,0,0
0.03,1100,3500,0,0
0.03,1100,4000,0,0
0.03,1150,1000,1,0
0.03,1150,1500,1,0
0.03,1150,2000,1,0
0.03,1150,2500,1,0
0.03,1150,3000,1,0
0.03,1150,3500,1,0
0.03,1150,4000,1,0
0.03,1200,1000,1,0
0.03,1200,1500,1,0
0.03,1200,2000,1,0
0.03,1200,2500,1,0
0.03,1200,3000,1,0
0.03,1200,3500,1,0
0.03,1200,4000,1,0
0.03,1250,1000,1,0
0.03,1250,1500,1,0
0.03,1250,2000,1,0
0.03,1250,2500,1,0
0.03,1250,3000,1,0
0.03,1250,3500,1,0
0.03,1250,4000,1,0
0.03,1300,1000,1,0
0.03,1300,1500,1,0
0.03,1300,2000,1,0
0.03,1300,2500,1,0
0.03,1300,3000,1,0
0.03,1300,3500,1,0
0.03,1300,4000,1,0
0.03,1350,1000,1,0
0.03,1350,1500,1,0
0.03,1350,2000,1,0
0.03,1350,2500,1,0
0.03,1350,3000,1,0
0.03,1350,3500,1,0
0.03,1350,4000,1,0
0.03,1400,1000,1,0
0.03,1400,1500,1,0
0.03,1400,2000,1,0
0.03,1400,2500,1,0
0.03,1400,3000,1,0
0.03,1400,3500,1,0
0.03,1400,4000,1,0
0.03,1450,1000,1,0
0.03,1450,1500,1,0
0.03,1450,2000,1,0
0.03,1450,2500,1,0
0.03,1450,3000,1,0
0.03,1450,3500,1,0
0.03,1450,4000,1,0
0.04,100,1000,0,0
0.04,100,1500,0,0
0.04,100,2000,0,0
0.04,100,2500,0,0
0.04,100,3000,0,0
0.04,100,3500,0,0
0.04,100,4000,0,0
0.04,150,1000,0,0
0.04,150,1500,0,0
0.04,150,2000,0,0
0.04,150,2500,0,0
0.04,150,3000,0,0
0.04,150,3500,0,0
0.04,150,4000,0,0
0.04,200,1000,0,0
0.04,200,1500,0,0
0.04,200,2000,0,0
0.04,200,2500,0,0
0.04,200,3000,0,0
0.04,200,3500,0,0
0.04,200,4000,0,0
0.04,250,1000,0,0
0.04,250,1500,0,0
0.04,250,2000,0,0
0.04,250,2500,0,0
0.04,250,3000,0,0
0.04,250,3500,0,0
0.04,250,4000,0,0
0.04,300,1000,0,0
0.04,300,1500,0,0
0.04,300,2000,0,0
0.04,300,2500,0,0
0.04,300,3000,0,0
0.04,300,3500,0,0
0.04,300,4000,0,0
0.04,350,1000,0,0
0.04,350,1500,0,0
0.04,350,2000,0,0
0.04,350,2500,0,0
0.04,350,3000,0,0
0.04,350,3500,0,0
0.04,350,4000,0,0
0.04,400,1000,0,0
0.04,400,1500,0,0
0.04,400,2000,0,0
0.04,400,2500,0,0
0.04,400,3000,0,0
0.04,400,3500,0,0
0.04,400,4000,0,0
0.04,450,1000,0,0
0.04,450,1500,0,0
0.04,450,2000,0,0
0.04,450,2500,0,0
0.04,450,3000,0,0
0.04,450,3500,0,0
0.04,450,4000,0,0
0.04,500,1000,0,0
0.04,500,1500,0,0
0.04,500,2000,0,0
0.04,500,2500,0,0
0.04,500,3000,0,0
0.04,500,3500,0,0
0.04,500,4000,0,0
0.04,550,1000,0,0
0.04,550,1500,0,0
0.04,550,2000,0,0
0.04,550,2500,0,0
0.04,550,3000,0,0
0.04,550,3500,0,0
0.04,550,4000,0,0
0.04,600,1000,0,0
0.04,600,1500,0,0
0.04,600,2000,0,0
0.04,600,2500,0,0
0.04,600,3000,0,0
0.04,600,3500,0,0
0.04,600,4000,0,0
0.04,650,1000,0,0
0.04,650,1500,0,0
0.04,650,2000,0,0
0.04,650,2500,0,0
0.04,650,3000,0,0
0.04,650,3500,0,0
0.04,650,4000,0,0
0.04,700,1000,0,0
0.04,700,1500,0,0
0.04,700,2000,0,0
0.04,700,2500,0,0
0.04,700,3000,0,0
0.04,700,3500,0,0
0.04,700,4000,0,0
0.04,750,1000,0,0
0.04,750,1500,0,0
0.04,750,2000,0,0
0.04,750,2500,0,0
0.04,750,3000,0,0
0.04,750,3500,0,0
0.04,750,4000,0,0
0.04,800,1000,0,0
0.04,800,1500,0,0
0.04,800,2000,0,0
0.04,800,2500,0,0
0.04,800,3000,0,0
0.04,800,3500,0,0
0.04,800,4000,0,0
0.04,850,1000,0,0
0.04,850,1500,0,0
0.04,850,2000,0,0
0.04,850,2500,0,0
0.04,850,3000,0,0
0.04,850,3500,0,0
0.04,850,4000,0,0
0.04,900,1000,0,0
0.04,900,1500,0,0
0.04,900,2000,0,0
0.04,900,2500,0,0
0.04,900,3000,0,0
0.04,900,3500,0,0
0.04,900,4000,0,0
0.04,950,1000,0,0
0.04,950,1500,0,0
0.04,950,2000,0,0
0.04,950,2500,0,0
0.04,950,3000,0,0
0.04,950,3500,0,0
0.04,950,4000,0,0
0.04,1000,1000,0,0
0.04,1000,1500,0,0
0.04,1000,2000,0,0
0.04,1000,2500,0,0
0.04,1000,3000,0,0
0.04,1000,3500,0,0
0.04,1000,4000,0,0
0.04,1050,1000,0,0
0.04,1050,1500,0,0
0.04,1050,2000,0,0
0.04,1050,2500,0,0
0.04,1050,3000,0,0
0.04,1050,3500,0,0
0.04,1050,4000,0,0
0.04,1100,1000,0,0
0.04,1100,1500,0,0
0.04,1100,2000,0,0
0.04,1100,2500,0,0
0.04,1100,3000,0,0
0.04,1100,3500,0,0
0.04,1100,4000,0,0
0.04,1150,1000,1,0
0.04,1150,1500,1,0
0.04,1150,2000,1,0
0.04,1150,2500,1,0
0.04,1150,3000,1,0
0.04,1150,3500,1,0
0.04,1150,4000,1,0
0.04,1200,1000,1,0
0.04,1200,1500,1,0
0.04,1200,2000,1,0
0.04,1200,2500,1,0
